type	latitude	longitude	name	desc
T	50.1287600	8.6636565
T	50.1283396	8.6639086
T	50.1278496	8.6642386
T	50.1273251	8.6644236
T	50.1266339	8.6645242
T	50.1259426	8.6645282
T	50.1258188	8.6636967
T	50.1272263	8.6633193
T	50.1279051	8.6631380

type	latitude	longitude	name	desc
T	50.1258188	8.6636967	lastverisongraph	Length: 0.266 km (0.165 mi)
T	50.1258004	8.6636825
T	50.1252385	8.6638823
T	50.1246800	8.6641278
T	50.1235733	8.6646509
T	50.1235830	8.6647419

type	latitude	longitude	name	desc
T	50.1285176	8.6653356	lastverisongraph	Length: 0.342 km (0.212 mi)
T	50.1285104	8.6653382
T	50.1282466	8.6654203
T	50.1280856	8.6654704
T	50.1278252	8.6655541
T	50.1271434	8.6658075
T	50.1271924	8.6660436
T	50.1272496	8.6661817
T	50.1273343	8.6662769
T	50.1275285	8.6662068
T	50.1279347	8.6660590
T	50.1279533	8.6660516
T	50.1282663	8.6659296
T	50.1284172	8.6658917
T	50.1285861	8.6658478
T	50.1285950	8.6658398

type	latitude	longitude	name	desc
T	50.1292368	8.6697729	lastverisongraph	Length: 0.513 km (0.319 mi)
T	50.1292327	8.6697704
T	50.1283136	8.6704941
T	50.1277815	8.6709130
T	50.1274703	8.6688022
T	50.1275270	8.6687297
T	50.1276977	8.6686707
T	50.1283648	8.6684357
T	50.1289851	8.6682163
T	50.1289922	8.6682464

type	latitude	longitude	name	desc
T	50.1278741	8.6696585	lastverisongraph	Length: 98.61 m (323.5 ft)
T	50.1276179	8.6697470
T	50.1274703	8.6688022

type	latitude	longitude	name	desc
T	50.1279085	8.6699080	lastverisongraph	Length: 95.81 m (314.3 ft)
T	50.1276540	8.6699992
T	50.1277815	8.6709130

type	latitude	longitude	name	desc
T	50.1276977	8.6686707	lastverisongraph	Length: 174.2 m (571.5 ft)
T	50.1276965	8.6686712
T	50.1277137	8.6686592
T	50.1277121	8.6686562
T	50.1273819	8.6679696
T	50.1275487	8.6673258
T	50.1280783	8.6671461
T	50.1280835	8.6671454

type	latitude	longitude	name	desc
T	50.1270923	8.6674906	lastverisongraph	Length: 48.88 m (160.4 ft)
T	50.1271508	8.6677119
T	50.1272660	8.6678661
T	50.1273726	8.6679653
T	50.1273819	8.6679696

type	latitude	longitude	name	desc
T	50.1272660	8.6678661	lastverisongraph	Length: 120 m (393.7 ft)
T	50.1272970	8.6679036
T	50.1271895	8.6681128
T	50.1270545	8.6682791
T	50.1267450	8.6685554
T	50.1264561	8.6688290

type	latitude	longitude	name	desc
T	50.1270258	8.6658080	lastverisongraph	Length: 0.664 km (0.413 mi)
T	50.1270249	8.6657979
T	50.1269609	8.6655390
T	50.1268762	8.6653231
T	50.1267709	8.6651447
T	50.1266415	8.6650147
T	50.1265512	8.6649248
T	50.1264506	8.6648779
T	50.1263354	8.6656718
T	50.1263130	8.6660399
T	50.1263423	8.6664134
T	50.1264420	8.6671551
T	50.1265521	8.6678699
T	50.1266398	8.6682085
T	50.1267481	8.6685364
T	50.1269285	8.6689751
T	50.1270849	8.6694299
T	50.1271122	8.6695404
T	50.1271253	8.6696753
T	50.1271279	8.6699475
T	50.1270771	8.6703016
T	50.1269955	8.6706127
T	50.1269465	8.6707938
T	50.1270526	8.6711311
T	50.1271458	8.6713361
T	50.1272964	8.6712430
T	50.1277693	8.6709158
T	50.1277815	8.6709130

type	latitude	longitude	name	desc
T	50.1271704	8.6714898	lastverisongraph	Length: 1.324 km (0.823 mi)
T	50.1292524	8.6699259
T	50.1306263	8.6689120
T	50.1310492	8.6686304
T	50.1315152	8.6686036
T	50.1316128	8.6721240
T	50.1297558	8.6722528
T	50.1280931	8.6729260
T	50.1271714	8.6714910

type	latitude	longitude	name	desc
T	50.1310492	8.6686304	lastverisongraph	Length: 0.555 km (0.345 mi)
T	50.1306184	8.6689256
T	50.1306949	8.6692514
T	50.1307095	8.6696202
T	50.1307072	8.6701340
T	50.1307037	8.6709065
T	50.1300718	8.6710661
T	50.1294503	8.6712793
T	50.1293299	8.6710111
T	50.1292543	8.6706839
T	50.1296961	8.6703620
T	50.1301552	8.6701421
T	50.1307054	8.6701286
T	50.1307072	8.6701340

type	latitude	longitude	name	desc
T	50.1316102	8.6721356	lastverisongraph	Length: 0.556 km (0.345 mi)
T	50.1317047	8.6734687
T	50.1318887	8.6744316
T	50.1315397	8.6746448
T	50.1311700	8.6747937
T	50.1306800	8.6722858
T	50.1316171	8.6722992
T	50.1316102	8.6721356
T	50.1316128	8.6721240

type	latitude	longitude	name	desc
T	50.1306800	8.6722858	lastverisongraph	Length: 1.295 km (0.805 mi)
T	50.1306748	8.6722912
T	50.1299028	8.6723609
T	50.1291346	8.6725889
T	50.1281576	8.6730675
T	50.1274630	8.6733304
T	50.1273615	8.6733173
T	50.1272635	8.6733740
T	50.1270606	8.6734766
T	50.1267098	8.6737676
T	50.1271140	8.6767852
T	50.1271638	8.6771795
T	50.1291297	8.6762059
T	50.1304853	8.6755597
T	50.1312347	8.6752024
T	50.1319328	8.6748694
T	50.1318881	8.6744456
T	50.1318887	8.6744316

type	latitude	longitude	name	desc
T	50.1311700	8.6747937	lastverisongraph	Length: 30.83 m (101.1 ft)
T	50.1311643	8.6747970
T	50.1312330	8.6751832
T	50.1312330	8.6751833
T	50.1312330	8.6751832
T	50.1312363	8.6752012
T	50.1312347	8.6752024

type	latitude	longitude	name	desc
T	50.1311643	8.6747970	lastverisongraph	Length: 0.474 km (0.294 mi)
T	50.1311591	8.6748158
T	50.1290199	8.6758420
T	50.1271206	8.6767769
T	50.1271226	8.6767765
T	50.1271140	8.6767852

type	latitude	longitude	name	desc
T	50.1280931	8.6729260	lastverisongraph	Length: 0.263 km (0.163 mi)
T	50.1280993	8.6729300
T	50.1283590	8.6735951
T	50.1290119	8.6758387
T	50.1291068	8.6762030
T	50.1291297	8.6762059

type	latitude	longitude	name	desc
T	50.1291297	8.6762059	lastverisongraph	Length: 0.319 km (0.198 mi)
T	50.1295044	8.6760155
T	50.1297556	8.6758899
T	50.1291275	8.6726030
T	50.1291346	8.6725889

type	latitude	longitude	name	desc
T	50.1299028	8.6723609	lastverisongraph	Length: 0.239 km (0.149 mi)
T	50.1298856	8.6723831
T	50.1304839	8.6755525
T	50.1304843	8.6755513
T	50.1304849	8.6755547
T	50.1304839	8.6755525
T	50.1304854	8.6755596
T	50.1304853	8.6755597

type	latitude	longitude	name	desc
T	50.1271140	8.6767852	lastverisongraph	Length: 0.595 km (0.369 mi)
T	50.1271000	8.6767725
T	50.1263004	8.6769951
T	50.1259479	8.6744470
T	50.1267098	8.6737676
T	50.1264411	8.6720276
T	50.1271375	8.6714563
T	50.1271666	8.6714433

type	latitude	longitude	name	desc
T	50.1264411	8.6720276	lastverisongraph	Length: 0.778 km (0.484 mi)
T	50.1264291	8.6720357
T	50.1256690	8.6726472
T	50.1259479	8.6744470
T	50.1255048	8.6747273
T	50.1250087	8.6748722
T	50.1234438	8.6755937
T	50.1230483	8.6757191
T	50.1231885	8.6749855
T	50.1235298	8.6744101
T	50.1233802	8.6739863
T	50.1227663	8.6740266

type	latitude	longitude	name	desc
T	50.1241537	8.6752429	lastverisongraph	Length: 0.967 km (0.601 mi)
T	50.1241635	8.6752832
T	50.1244197	8.6771929
T	50.1252658	8.6769220
T	50.1250010	8.6749050
T	50.1246984	8.6727729
T	50.1245298	8.6716920
T	50.1237388	8.6716813
T	50.1239896	8.6738476
T	50.1241537	8.6752429

type	latitude	longitude	name	desc
T	50.1235298	8.6744101	lastverisongraph	Length: 0.271 km (0.169 mi)
T	50.1235380	8.6744114
T	50.1248106	8.6734405
T	50.1256652	8.6727029
T	50.1256650	8.6727032
T	50.1256690	8.6726472

type	latitude	longitude	name	desc
T	50.1233802	8.6739863	lastverisongraph	Length: 1.216 km (0.756 mi)
T	50.1233720	8.6739648
T	50.1232568	8.6735973
T	50.1229112	8.6716205
T	50.1227147	8.6700821
T	50.1226046	8.6689958
T	50.1224808	8.6679498
T	50.1222332	8.6680141
T	50.1226081	8.6669332
T	50.1218566	8.6671666
T	50.1215436	8.6652783
T	50.1227393	8.6649055
T	50.1234076	8.6647338
T	50.1234884	8.6646077
T	50.1235830	8.6647419
T	50.1235515	8.6648283
T	50.1235176	8.6649242
T	50.1234093	8.6649645
T	50.1229587	8.6660132
T	50.1226096	8.6669064
T	50.1226081	8.6669332

type	latitude	longitude	name	desc
T	50.1227231	8.6701221	lastverisongraph	Length: 0.655 km (0.407 mi)
T	50.1235245	8.6698833
T	50.1243001	8.6700148
T	50.1261933	8.6709830
T	50.1270015	8.6715597
T	50.1277615	8.6724180
T	50.1280931	8.6729260

type	latitude	longitude	name	desc
T	50.1271714	8.6714910	lastverisongraph	Length: 0.833 km (0.518 mi)
T	50.1271704	8.6714898
T	50.1271666	8.6714433
T	50.1271458	8.6713361
T	50.1248675	8.6701465
T	50.1242296	8.6698353
T	50.1235125	8.6698311
T	50.1233577	8.6687314
T	50.1241333	8.6685034
T	50.1242571	8.6698204
T	50.1245219	8.6716711
